"attitude","education","income","gender","class"
1.4,2,3,1,1
5.25,2,1,1,1
7,3,1,0,4
1.2,2,1,0,NA
2.2,2,2,1,1
NA,2,NA,0,4
2.8,2,3,1,2
3.4,1,1,0,1
4,2,3,0,2
4,1,1,1,1
2.2,1,1,1,1
3,2,2,0,5
3.8,1,1,0,1
5.2,2,2,1,1
5,2,2,0,2
4.8,1,1,1,1
5.8,3,3,1,5
5,2,2,0,1
4,1,1,0,1
5,2,1,1,1
2.6,2,2,1,2
1,2,1,1,2
1.8,2,2,1,2
2.2,1,1,0,1
2.4,2,3,1,2
2.8,2,2,0,4
2.8,1,1,0,4
1.8,2,2,1,2
2.6,2,1,1,3
5,2,2,1,NA
1,2,1,1,2
5.4,3,2,1,3
7.6,3,1,1,NA
4.4,3,3,0,5
6.8,2,2,0,1
5,2,1,1,2
6.6,3,1,1,5
4,3,3,1,5
5.75,1,1,1,4
8,1,3,0,5
4.6,2,3,1,NA
3.4,3,NA,1,NA
4,2,3,1,NA
7.2,2,3,0,NA
1.4,2,2,1,NA
1.8,3,2,1,NA
2.8,2,2,1,NA
1,3,2,1,NA
3.4,1,2,0,NA
1.6,2,1,1,NA
4,3,2,1,NA
1,1,1,1,1
6.6,3,2,1,NA
4.5,2,1,1,2
4.8,2,1,1,2
1.6,1,NA,0,1
2.8,2,3,0,5
4.4,2,3,1,4
3,2,1,1,1
1,2,1,1,5
1,1,1,1,2
3.2,3,2,0,4
4.6,2,1,1,4
9.2,1,1,1,1
2.6,2,3,0,5
2,2,NA,0,4
1.4,2,1,0,4
6.8,2,2,0,2
1,1,2,0,2
3.6,2,1,0,2
4.2,3,2,1,2
2.2,2,3,0,2
5,3,3,1,5
7,2,2,0,4
7.2,2,1,1,1
9.2,2,1,1,1
1.4,1,2,0,NA
2.6,2,3,1,1
6.2,2,2,0,5
3.4,2,2,1,2
4.8,2,3,1,5
3.8,2,2,1,5
4.8,2,2,0,1
2.8,2,2,1,1
4.6,2,2,1,5
3.8,2,1,0,4
4,2,2,1,4
4.4,3,2,1,5
4.8,2,3,1,4
4,2,1,0,1
5,2,1,0,1
7.2,2,3,0,4
1,1,NA,0,4
3.6,2,1,1,3
4.2,3,2,1,2
8.6,3,3,1,4
2.6,3,3,0,2
1,3,2,0,5
8,2,2,1,4
5.6,3,2,0,4
5.4,2,1,0,5
1,2,1,1,5
1,3,3,1,5
1.4,2,2,1,2
1,2,3,0,5
4.2,2,1,0,4
1,2,3,0,4
1.6,1,1,0,1
1.2,1,1,0,2
1.8,2,1,0,4
5.2,1,2,0,1
5.2,2,1,0,5
8,2,1,1,1
1,1,2,1,2
4.6,2,3,1,4
4.8,1,1,0,1
8.4,1,1,0,1
4.6,2,2,0,4
4.6,2,2,1,3
4.6,2,3,0,4
4.2,2,3,0,4
2,1,3,0,NA
4.4,2,1,1,4
6.6,2,NA,0,1
2,2,3,0,1
2.8,2,NA,0,4
5.2,2,2,1,2
1.4,2,NA,0,3
5.8,2,NA,0,3
4.6,3,NA,1,2
2.4,2,2,1,2
4.4,2,1,0,4
5,2,NA,1,5
4.6,2,NA,0,5
10,3,1,1,3
5,1,3,1,1
1,1,1,0,4
8.4,2,3,0,4
3.6,2,3,0,5
5.4,2,NA,1,5
1,2,3,1,2
2.8,2,1,1,2
5.8,2,3,0,5
1.6,3,2,1,5
1,2,3,1,1
5.8,2,2,1,1
7.6,1,1,1,4
7,2,NA,0,4
3.8,3,3,1,3
5.4,2,NA,1,2
6.8,2,3,0,4
7.6,2,2,1,NA
4.2,2,2,1,2
5.6,3,2,0,5
4.6,2,1,0,NA
5.4,2,2,1,5
3.8,2,1,1,2
4.6,3,2,1,5
5.8,2,3,0,3
7.8,1,1,1,1
8.8,2,2,0,4
6.8,2,3,1,2
4.2,3,2,0,5
8,3,3,1,5
6.4,2,1,0,5
4.8,1,1,0,4
6.6,2,1,1,1
5.8,2,3,1,3
4.4,2,3,0,5
2.8,1,2,0,4
7.6,2,2,0,5
7.2,2,3,0,4
7.8,2,2,1,2
5.8,2,1,1,2
5.2,3,2,0,4
6.4,2,2,1,2
7.2,3,3,1,5
3.2,3,3,0,2
7.6,2,2,1,3
3,2,3,0,1
5.4,2,1,1,2
8,2,3,0,4
2.6,2,2,1,2
6.8,2,2,1,3
4.6,2,2,0,4
4.8,2,2,0,4
3.6,2,3,0,4
7.6,2,2,1,2
7.2,2,2,0,4
7.6,2,3,0,4
5.2,1,3,1,5
3.6,3,NA,0,1
2.6,2,1,1,1
4.8,2,NA,1,2
4.2,2,3,1,4
3.4,2,NA,0,5
6.6,3,1,0,5
5.6,2,3,1,NA
6.4,2,1,0,4
5.75,3,2,0,5
9.2,2,3,1,5
3.4,2,2,0,2
8.6,3,3,1,5
6.8,3,1,1,5
4.4,2,1,1,2
2.6,2,1,1,NA
1.8,1,NA,0,2
3.4,2,3,0,1
3.2,2,3,0,4
5.8,3,2,1,3
6.6,2,3,1,5
1,2,2,0,NA
5.6,1,3,1,5
6.2,3,NA,0,5
6.4,2,2,1,NA
6,2,3,0,5
6.4,3,NA,0,5
6.8,3,NA,0,5
6,1,NA,0,5
3.8,3,1,1,NA
6.6,2,NA,0,4
4.4,NA,1,1,NA
5.6,2,NA,0,2
4.6,2,2,0,4
